Id,Group,Exam,MCQ_1,MCQ_2,MCQ_3,MCQ_4,MCQ_5,MCQ_6,MCQ_7,MCQ_8,MCQ_9,MCQ_10,Online_MCQ_1,Online_MCQ_2,Online_MCQ_3,Online_MCQ_4,Online_MCQ_5,Online_MCQ_6,Online_MCQ_7,Online_MCQ_8,Online_MCQ_9,Online_MCQ_10,Online_MCQ_11,Online_MCQ_12,Online_MCQ_13,Online_MCQ_14,Online_MCQ_15,Online_MCQ_16,Online_MCQ_17,Online_MCQ_18,Online_MCQ_19
561,grp_16,10,15,18.461538461538463,12.727272727272727,8.235294117647058,13.846153846153847,20,20,20,20,17.77777777777778,20,NA,16.36,NA,12.5,NA,20,11.82,NA,NA,20,20,13.33,20,16,20,20,NA,20
321,grp_22,6,NA,10.769230769230768,2.727272727272727,5.882352941176471,4.615384615384616,12,6.666666666666666,0,2.5,4.444444444444445,20,NA,18.18,NA,NA,NA,NA,NA,NA,NA,NA,6.67,NA,15,NA,16.67,10,NA,13.33
153,grp_24,9,6.666666666666666,13.846153846153847,9.09090909090909,9.411764705882353,13.846153846153847,16,6.666666666666666,6.470588235294118,5,5.555555555555555,8.57,11.67,10.91,NA,NA,NA,10,NA,NA,NA,14.29,6.67,0,NA,NA,10,NA,NA,13.33
74,grp_7,6,11.666666666666668,16.923076923076923,18.18181818181818,11.764705882352942,12.307692307692308,16,11.11111111111111,10.588235294117647,5,11.11111111111111,15.71,NA,NA,10,10,NA,NA,3.64,6.67,NA,17.14,6.67,NA,15,NA,NA,NA,0,NA
228,grp_4,4,6.666666666666666,6.153846153846154,12.727272727272727,1.1764705882352942,1.5384615384615385,16,8.88888888888889,10.588235294117647,5,15.555555555555555,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,14.29,NA,NA,NA,NA,NA,NA,NA,NA
146,grp_20,10,3.333333333333333,16.923076923076923,18.18181818181818,5.882352941176471,20,20,11.11111111111111,12.941176470588236,15,6.666666666666666,12.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,12,16.67,3.33,NA,NA
634,grp_11,8,8.333333333333334,15.384615384615385,10.909090909090908,9.411764705882353,10.769230769230768,20,8.88888888888889,8.235294117647058,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,grp_14,8,11.666666666666668,10.769230769230768,18.18181818181818,14.11764705882353,10.769230769230768,16,8.88888888888889,10.588235294117647,5,13.333333333333332,17.14,20,NA,NA,NA,15,NA,9.09,6.67,20,20,20,13.33,20,NA,16.67,16.67,NA,13.33
128,grp_13,10,3.333333333333333,13.846153846153847,7.272727272727273,15.294117647058822,15.384615384615385,20,7.777777777777778,20,17.5,17.77777777777778,NA,NA,NA,NA,NA,NA,NA,0,6.67,NA,NA,20,NA,NA,NA,NA,NA,NA,16.67
303,grp_22,8,11.666666666666668,7.6923076923076925,18.18181818181818,4.705882352941177,7.6923076923076925,4,15.555555555555555,20,7.5,20,20,NA,NA,0,0,20,0,0,20,3.33,NA,20,3.33,10,0,16.67,10,5,10
24,grp_8,1.5,0,0,5.454545454545454,3.5294117647058827,7.6923076923076925,20,17.77777777777778,8.235294117647058,NA,NA,NA,NA,7.27,NA,NA,15,NA,4.55,6.67,3.33,11.43,13.33,NA,NA,NA,NA,NA,NA,16.67
356,grp_18,0,5,NA,0,1.1764705882352942,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
601,grp_14,3,NA,15.384615384615385,0,9.411764705882353,6.153846153846154,20,11.11111111111111,0,7.5,NA,8.57,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,10,NA,NA
165,grp_21,7,8.333333333333334,4.615384615384616,9.09090909090909,5.882352941176471,6.153846153846154,16,8.88888888888889,1.1764705882352942,NA,8.88888888888889,NA,NA,NA,10,17.5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
622,grp_24,3,5,6.153846153846154,NA,7.058823529411765,3.076923076923077,12,11.11111111111111,7.058823529411765,0,4.444444444444445,15.71,20,NA,NA,NA,20,0,NA,20,NA,11.43,NA,3.33,NA,NA,NA,NA,NA,NA
532,grp_21,14,15,20,20,20,20,20,17.77777777777778,20,15,20,20,20,20,10,17.5,20,0,14.55,20,16.67,20,20,20,20,8,20,20,20,20
410,grp_8,6.5,10,13.846153846153847,14.545454545454547,NA,10.769230769230768,16,15.555555555555555,10.588235294117647,10,17.77777777777778,20,16.67,NA,NA,NA,NA,NA,19.09,13.33,0,17.14,20,NA,10,NA,13.33,10,NA,NA
297,grp_11,6,0,7.6923076923076925,16.363636363636363,9.411764705882353,16.923076923076923,16,11.11111111111111,NA,10,NA,NA,NA,NA,NA,NA,15,NA,1.82,13.33,6.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
717,grp_16,10,8.333333333333334,13.846153846153847,20,9.411764705882353,16.923076923076923,16,20,12.941176470588236,15,20,20,20,16.36,20,7.5,20,0,NA,20,10,17.14,20,13.33,20,4,20,20,15,13.33
283,grp_22,2,13.333333333333332,9.230769230769232,10.909090909090908,9.411764705882353,3.076923076923077,12,4.444444444444445,2.9411764705882355,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33,NA,NA,NA
621,grp_21,18,11.666666666666668,10.769230769230768,20,18.823529411764707,20,16,17.77777777777778,20,15,20,20,NA,20,NA,NA,NA,NA,11.82,NA,NA,NA,13.33,6.67,20,4,20,NA,NA,20
517,grp_19,5,0,4.615384615384616,7.272727272727273,8.235294117647058,4.615384615384616,0,2.2222222222222223,11.764705882352942,2.5,NA,20,NA,NA,NA,NA,NA,NA,NA,6.67,NA,NA,6.67,NA,NA,NA,13.33,10,NA,16.67
212,grp_19,13.5,8.333333333333334,10.769230769230768,14.545454545454547,5.882352941176471,12.307692307692308,12,11.11111111111111,10.588235294117647,5,NA,12.86,NA,NA,10,0,NA,NA,11.82,NA,NA,20,20,NA,15,NA,20,10,NA,3.33
259,grp_14,1.5,3.333333333333333,10.769230769230768,9.09090909090909,4.705882352941177,9.230769230769232,16,4.444444444444445,4.705882352941177,0,4.444444444444445,10,13.33,NA,NA,NA,10,NA,NA,13.33,0,11.43,NA,NA,15,NA,13.33,10,NA,6.67
314,grp_22,10.5,11.666666666666668,15.384615384615385,18.18181818181818,12.941176470588236,20,16,15.555555555555555,14.11764705882353,12.5,11.11111111111111,15.71,20,20,NA,NA,20,NA,14.55,13.33,16.67,NA,20,16.67,20,16,20,20,NA,20
481,grp_13,1,0,13.846153846153847,3.6363636363636367,1.1764705882352942,3.076923076923077,16,8.88888888888889,10.588235294117647,5,17.77777777777778,NA,16.67,NA,10,0,NA,NA,NA,NA,NA,5.71,13.33,NA,10,NA,NA,NA,10,16.67
298,grp_20,12,10,16.923076923076923,12.727272727272727,9.411764705882353,20,20,17.77777777777778,20,15,8.88888888888889,15.71,16.67,16.36,15,7.5,20,20,6.36,20,20,17.14,13.33,10,20,0,10,20,15,13.33
719,grp_15,6,13.333333333333332,12.307692307692308,16.363636363636363,12.941176470588236,10.769230769230768,12,8.88888888888889,1.1764705882352942,2.5,8.88888888888889,NA,NA,NA,15,NA,NA,10,5.45,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA
158,grp_13,8,15,12.307692307692308,16.363636363636363,17.647058823529413,15.384615384615385,16,20,12.941176470588236,17.5,11.11111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,grp_17,6.5,15,18.461538461538463,20,16.470588235294116,16.923076923076923,16,11.11111111111111,15.294117647058822,15,17.77777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,grp_16,10,13.333333333333332,16.923076923076923,18.18181818181818,14.11764705882353,20,20,17.77777777777778,10.588235294117647,12.5,17.77777777777778,14.29,16.67,18.18,10,7.5,15,0,5.45,6.67,10,17.14,20,13.33,15,8,13.33,16.67,20,20
705,grp_8,11,11.666666666666668,16.923076923076923,12.727272727272727,9.411764705882353,15.384615384615385,NA,15.555555555555555,10.588235294117647,0,8.88888888888889,20,13.33,9.09,0,7.5,NA,0,0,NA,NA,20,20,0,NA,NA,NA,NA,0,20
648,grp_2,3,5,15.384615384615385,10.909090909090908,8.235294117647058,3.076923076923077,16,11.11111111111111,10.588235294117647,7.5,13.333333333333332,NA,NA,NA,NA,0,5,NA,NA,NA,NA,NA,20,0,20,12,13.33,20,NA,13.33
292,grp_9,11,6.666666666666666,18.461538461538463,20,8.235294117647058,16.923076923076923,16,13.333333333333332,17.647058823529413,7.5,NA,15.71,20,18.18,20,0,15,0,5.45,20,6.67,20,20,NA,15,NA,16.67,16.67,0,20
724,grp_12,3,8.333333333333334,15.384615384615385,5.454545454545454,2.3529411764705883,15.384615384615385,16,4.444444444444445,5.882352941176471,0,NA,10,5,1.82,NA,NA,NA,0,0,NA,NA,NA,6.67,6.67,10,0,10,6.67,NA,13.33
709,grp_6,2,13.333333333333332,18.461538461538463,16.363636363636363,11.764705882352942,10.769230769230768,8,13.333333333333332,15.294117647058822,7.5,NA,15.71,16.67,14.55,NA,NA,20,NA,5.45,13.33,20,20,20,16.67,20,NA,10,16.67,NA,13.33
348,grp_21,14,15,NA,10.909090909090908,20,15.384615384615385,20,NA,20,2.5,11.11111111111111,14.29,NA,20,15,10,20,0,3.64,13.33,16.67,20,20,NA,20,NA,20,16.67,5,13.33
197,grp_17,18,15,18.461538461538463,18.18181818181818,17.647058823529413,20,20,20,20,20,20,20,NA,20,20,15,20,20,15.45,20,20,17.14,13.33,20,20,16,20,20,20,20
516,grp_13,7,13.333333333333332,16.923076923076923,12.727272727272727,11.764705882352942,10.769230769230768,12,4.444444444444445,10.588235294117647,15,20,NA,15,12.73,NA,NA,NA,NA,11.82,13.33,NA,17.14,13.33,NA,NA,NA,NA,NA,NA,NA
226,grp_2,14,11.666666666666668,16.923076923076923,16.363636363636363,10.588235294117647,13.846153846153847,12,17.77777777777778,8.823529411764707,5,NA,15.71,18.33,12.73,15,12.5,15,0,11.82,13.33,16.67,20,13.33,NA,20,NA,20,20,0,10
504,grp_9,8,5,16.923076923076923,18.18181818181818,11.764705882352942,13.846153846153847,16,20,17.647058823529413,15,NA,20,16.67,20,20,NA,20,0,10,20,6.67,20,20,16.67,20,8,20,20,20,20
355,grp_7,13,NA,12.307692307692308,9.09090909090909,NA,15.384615384615385,20,NA,13.529411764705884,5,13.333333333333332,12.86,NA,12.73,0,0,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,13.33,0,NA
245,grp_8,8,13.333333333333332,16.923076923076923,12.727272727272727,8.235294117647058,15.384615384615385,20,8.88888888888889,9.411764705882353,0,13.333333333333332,15.71,15,20,0,0,10,0,12.73,20,0,14.29,13.33,13.33,20,0,16.67,13.33,NA,16.67
626,grp_5,6,6.666666666666666,16.923076923076923,20,5.882352941176471,13.846153846153847,20,15.555555555555555,18.823529411764707,5,NA,NA,20,14.55,15,0,20,0,2.73,13.33,10,17.14,NA,NA,20,NA,20,16.67,0,10
262,grp_5,12,8.333333333333334,18.461538461538463,16.363636363636363,NA,16.923076923076923,20,17.77777777777778,16.470588235294116,15,NA,17.14,NA,NA,0,0,NA,0,3.64,NA,NA,NA,13.33,NA,20,NA,16.67,NA,0,10
390,grp_14,0,5,9.230769230769232,5.454545454545454,4.705882352941177,13.846153846153847,16,13.333333333333332,12.941176470588236,10,8.88888888888889,20,15,14.55,0,NA,NA,NA,NA,0,NA,17.14,13.33,13.33,5,0,6.67,13.33,0,13.33
130,grp_8,5,8.333333333333334,16.923076923076923,12.727272727272727,8.235294117647058,16.923076923076923,16,11.11111111111111,3.5294117647058827,2.5,15.555555555555555,20,16.67,14.55,NA,NA,15,NA,0.91,13.33,0,17.14,20,3.33,10,NA,16.67,16.67,NA,20
372,grp_8,4,0,13.846153846153847,9.09090909090909,11.764705882352942,10.769230769230768,20,6.666666666666666,7.058823529411765,2.5,4.444444444444445,20,11.67,14.55,NA,NA,15,NA,0.91,20,10,20,13.33,3.33,15,8,16.67,10,NA,10
3,grp_6,2,NA,NA,6.363636363636363,7.058823529411765,13.846153846153847,20,6.666666666666666,10.588235294117647,2.5,13.333333333333332,17.14,13.33,9.09,NA,0,15,0,NA,20,3.33,8.57,20,6.67,20,NA,20,16.67,NA,13.33
374,grp_1,8,15,13.846153846153847,10.909090909090908,12.941176470588236,15.384615384615385,16,NA,16.470588235294116,2.5,11.11111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,grp_3,7,1.6666666666666665,13.846153846153847,14.545454545454547,4.705882352941177,15.384615384615385,16,NA,NA,NA,20,20,NA,18.18,NA,NA,NA,NA,19.09,NA,NA,11.43,NA,13.33,NA,16,13.33,16.67,NA,NA
